date,open,close,high,low,volume
2025-10-21,560.12,556.85,568.31,552.39,4796677
2025-10-22,551.89,559.49,561.05,545.88,8440970
2025-10-23,555.05,550.07,559.48,539.66,9045168
2025-10-24,542.23,547.82,557.66,532.53,1512364
2025-10-25,561.29,552.73,572.46,548.75,9079418
2025-10-26,554.53,554.11,561.89,549.5,1326871
2025-10-27,550.29,559.66,566.6,542.09,6364513
2025-10-28,540.93,542.14,552.64,538.24,1447767
2025-10-29,554.12,551.87,564.22,545.85,3144960
2025-10-30,569.93,563.08,572.69,553.33,6680596
2025-10-31,549.64,559.74,564.78,549.46,3807120
2025-11-01,553.12,557.37,563.27,542.33,5398985
2025-11-02,567.57,564.08,567.83,556.65,2781400
2025-11-03,565.96,558.37,569.87,551.22,9172782
2025-11-04,559.3,570.1,581.33,558.67,3281568
2025-11-05,548.56,557.49,561.33,545.87,5933838
2025-11-06,539.82,548.39,549.16,535.8,2529535
2025-11-07,536.88,539.37,546.22,536.68,2985492
2025-11-08,527.21,527.46,536.02,524.98,4439084
2025-11-09,535.99,536.79,538.06,526.91,7394854
2025-11-10,516.23,525.76,536.15,507.39,6792992
2025-11-11,523.46,525.98,526.38,521.08,6034714
2025-11-12,515.26,517.26,522.71,513.82,4100431
2025-11-13,530.46,522.24,533.6,521.49,5726011
2025-11-14,516.84,526.94,532.53,509.84,5818442
2025-11-15,524.75,523.11,526.48,514.14,8790728
2025-11-16,526.38,533.64,541.79,523.68,4930741
2025-11-17,517.74,523.47,527.71,515.43,4227902
2025-11-18,512.16,514.49,521.61,510.28,4844608
2025-11-19,498.9,502.89,503.15,495.8,4593940
