date,open,close,high,low,volume
2025-10-21,172.75,173.0,174.26,171.19,6333307
2025-10-22,174.16,172.59,176.12,169.37,4754778
2025-10-23,173.15,173.37,174.62,170.36,1607799
2025-10-24,171.72,173.22,174.23,168.42,2814673
2025-10-25,166.14,168.69,169.34,164.45,1244142
2025-10-26,170.08,167.78,172.95,164.85,6868505
2025-10-27,171.34,171.48,172.16,169.48,1809592
2025-10-28,169.81,173.12,176.24,168.87,1171809
2025-10-29,168.66,170.55,172.13,168.26,2216751
2025-10-30,168.42,170.97,174.21,166.02,2545052
2025-10-31,168.23,166.64,168.52,163.86,2092967
2025-11-01,168.3,169.97,171.95,167.09,6417490
2025-11-02,173.63,170.56,175.35,170.53,5016589
2025-11-03,172.67,174.91,176.5,171.97,1837854
2025-11-04,173.84,174.99,177.88,172.08,1695970
2025-11-05,170.92,170.81,172.86,168.04,5116018
2025-11-06,175.24,173.33,176.28,172.98,5231258
2025-11-07,177.99,178.0,179.06,175.09,3885714
2025-11-08,175.85,179.2,180.24,172.62,6217132
2025-11-09,177.44,177.24,179.59,175.4,8842536
2025-11-10,175.59,177.11,180.36,173.18,5069158
2025-11-11,177.19,175.81,178.51,175.81,4807792
2025-11-12,178.31,177.85,181.16,174.67,2239574
2025-11-13,181.5,179.48,182.7,176.16,1795203
2025-11-14,181.11,180.56,182.75,177.77,4972039
2025-11-15,182.54,182.0,183.13,179.44,2278515
2025-11-16,182.95,179.65,185.38,178.69,1986688
2025-11-17,189.68,186.18,191.41,185.69,5478130
2025-11-18,186.28,187.18,190.11,185.4,3385223
2025-11-19,182.39,184.2,184.27,180.62,9588336
