date,open,close,high,low,volume
2025-10-21,222.91,224.16,226.12,220.78,8572105
2025-10-22,216.88,220.42,220.56,214.47,6600218
2025-10-23,216.62,216.26,216.75,214.07,2747202
2025-10-24,220.33,216.52,222.41,213.76,1903544
2025-10-25,221.4,219.0,222.28,215.6,2421178
2025-10-26,224.36,222.3,228.55,218.7,4192041
2025-10-27,228.58,227.59,229.47,226.6,7829572
2025-10-28,226.75,229.99,234.5,223.23,1958097
2025-10-29,230.96,228.12,232.04,224.7,7269377
2025-10-30,232.95,235.37,237.38,232.8,5480584
2025-10-31,237.17,232.82,238.62,232.73,7964786
2025-11-01,235.45,235.45,239.92,233.93,1601834
2025-11-02,238.77,239.48,244.22,236.41,6658332
2025-11-03,240.53,242.32,243.87,240.35,1952992
2025-11-04,241.99,237.82,243.95,234.9,8781168
2025-11-05,236.68,240.73,245.01,232.54,3900146
2025-11-06,239.27,240.64,242.8,238.12,4364569
2025-11-07,240.4,237.56,242.1,234.95,1226576
2025-11-08,240.51,237.87,241.11,233.18,8413894
2025-11-09,245.02,240.82,246.87,239.44,4500707
2025-11-10,239.34,241.06,241.38,236.07,8596514
2025-11-11,239.21,235.22,242.17,234.23,2982823
2025-11-12,236.63,237.84,239.98,232.62,2998379
2025-11-13,241.12,238.63,242.58,235.62,5570346
2025-11-14,243.62,245.63,246.1,241.97,5600945
2025-11-15,238.56,243.18,245.44,237.73,6544967
2025-11-16,234.21,238.87,241.53,230.76,7072493
2025-11-17,241.62,238.24,243.77,237.27,7002369
2025-11-18,238.43,240.37,241.74,235.51,6963151
2025-11-19,241.35,239.51,245.69,236.49,2346797
