date,open,close,high,low,volume
2025-10-21,169.47,170.77,173.34,166.92,1689612
2025-10-22,168.08,168.44,168.5,167.2,4317118
2025-10-23,164.36,165.0,165.42,163.93,3647102
2025-10-24,160.3,161.21,162.29,157.27,3262262
2025-10-25,156.87,159.35,161.16,156.06,8999171
2025-10-26,156.44,155.32,158.24,154.53,4959621
2025-10-27,158.69,157.78,161.53,156.88,5658039
2025-10-28,161.17,158.91,161.79,155.82,6335613
2025-10-29,160.8,162.67,164.23,159.24,6517838
2025-10-30,161.8,161.13,162.47,160.31,1200424
2025-10-31,161.76,160.89,164.46,160.66,9338122
2025-11-01,165.39,162.11,165.99,159.24,8356665
2025-11-02,162.17,165.31,168.14,161.17,5061465
2025-11-03,160.53,159.94,162.37,159.14,3336428
2025-11-04,160.99,158.13,162.73,155.5,4029094
2025-11-05,160.85,163.84,165.36,158.37,9421887
2025-11-06,160.05,161.52,161.53,157.91,4631198
2025-11-07,163.91,160.71,166.79,158.22,3811046
2025-11-08,164.54,163.14,165.19,162.51,4711531
2025-11-09,160.87,163.55,166.26,157.95,9606487
2025-11-10,160.85,158.43,161.29,157.76,2036560
2025-11-11,161.52,159.19,164.48,157.76,5748289
2025-11-12,164.87,162.08,164.88,161.63,1796194
2025-11-13,161.89,161.74,163.35,160.48,3982026
2025-11-14,162.56,163.52,163.81,161.03,3966635
2025-11-15,161.43,163.5,165.83,161.03,1685531
2025-11-16,164.54,162.3,164.89,160.59,1320121
2025-11-17,167.39,165.44,170.38,162.91,1498621
2025-11-18,167.2,165.44,169.94,163.18,5714696
2025-11-19,170.81,169.91,172.85,168.96,2984219
