date,open,close,high,low,volume
2025-10-21,431.08,434.88,435.66,431.03,3325837
2025-10-22,441.13,438.18,445.9,432.16,3918435
2025-10-23,436.46,443.53,449.61,432.82,5347036
2025-10-24,431.29,431.12,439.58,430.34,7308962
2025-10-25,443.7,438.63,450.51,434.51,2073218
2025-10-26,445.07,445.81,449.07,443.66,6778725
2025-10-27,447.73,440.94,448.39,435.46,6483524
2025-10-28,452.49,448.45,458.94,447.25,3002293
2025-10-29,462.03,460.57,466.09,460.3,1259964
2025-10-30,457.45,455.05,465.18,448.94,8659653
2025-10-31,457.73,454.1,465.82,447.1,8379730
2025-11-01,459.07,452.32,467.07,445.87,1970000
2025-11-02,451.36,452.67,458.27,442.63,3871457
2025-11-03,446.02,453.37,456.3,443.84,5132974
2025-11-04,455.06,446.25,460.01,441.62,7973185
2025-11-05,464.0,461.85,464.28,454.96,4993794
2025-11-06,465.12,466.31,466.88,456.34,7783616
2025-11-07,476.23,467.24,481.43,461.94,4555755
2025-11-08,466.75,475.82,479.7,458.27,3123690
2025-11-09,460.89,462.18,466.33,456.91,6020441
2025-11-10,463.07,469.87,471.69,455.84,6573826
2025-11-11,464.99,465.82,470.94,456.39,9766055
2025-11-12,461.74,461.42,462.69,454.93,1695466
2025-11-13,464.41,455.83,466.8,447.95,3963715
2025-11-14,458.39,462.9,471.81,450.33,1034588
2025-11-15,447.28,454.88,459.9,439.14,4899119
2025-11-16,454.34,456.27,457.35,453.49,7403916
2025-11-17,462.26,455.5,464.11,446.74,8751708
2025-11-18,465.3,465.85,472.01,459.99,6221354
2025-11-19,463.2,465.38,468.18,454.77,8895585
