date,open,close,high,low,volume
2025-10-21,141.52,140.87,144.19,139.77,8297886
2025-10-22,139.95,139.3,141.81,136.86,6592681
2025-10-23,139.36,141.52,142.49,137.16,9394168
2025-10-24,136.12,138.61,138.66,136.1,6696765
2025-10-25,137.68,136.83,137.83,136.79,7766146
2025-10-26,134.43,135.14,137.62,132.52,1937102
2025-10-27,131.6,132.2,134.71,130.71,6111992
2025-10-28,134.69,132.01,137.3,129.58,2489907
2025-10-29,134.84,135.71,136.37,134.09,3864653
2025-10-30,132.45,133.71,133.81,131.05,3826800
2025-10-31,135.4,133.34,135.84,130.82,5023724
2025-11-01,135.19,135.5,135.84,133.74,7853992
2025-11-02,134.81,133.55,135.82,132.24,4117838
2025-11-03,136.41,135.01,138.08,133.39,7529457
2025-11-04,140.46,139.1,142.7,138.04,1080286
2025-11-05,140.96,143.19,143.35,139.55,9150119
2025-11-06,140.62,139.08,140.71,138.46,8249635
2025-11-07,142.67,142.91,144.83,141.08,5336782
2025-11-08,142.62,143.46,143.98,142.06,9505185
2025-11-09,142.44,143.09,143.79,139.78,5960873
2025-11-10,146.28,144.74,146.53,144.59,1205089
2025-11-11,146.92,147.43,147.45,146.34,4650202
2025-11-12,151.41,148.82,153.11,147.27,7281974
2025-11-13,155.17,152.9,156.87,152.7,7807632
2025-11-14,155.06,154.58,157.9,153.22,9549751
2025-11-15,155.31,153.87,155.42,152.82,8886190
2025-11-16,151.04,153.47,156.34,148.82,3367343
2025-11-17,149.66,150.13,151.14,147.87,2477083
2025-11-18,148.31,146.89,149.72,144.69,7609485
2025-11-19,147.94,149.92,152.24,146.35,8757067
