date,open,close,high,low,volume
2025-10-21,327.04,331.26,334.79,322.72,9425580
2025-10-22,331.31,326.39,331.65,322.9,3818546
2025-10-23,320.57,325.87,325.96,320.39,6407209
2025-10-24,320.23,318.29,321.22,313.61,9028452
2025-10-25,321.69,326.21,329.06,316.68,5682964
2025-10-26,318.22,319.96,325.11,313.01,5326699
2025-10-27,321.35,321.36,323.79,320.89,9337872
2025-10-28,318.97,315.48,323.03,315.29,6274181
2025-10-29,317.59,313.17,319.14,309.51,8046685
2025-10-30,317.85,316.04,321.23,311.25,5656656
2025-10-31,319.75,322.64,323.58,313.69,8409565
2025-11-01,314.2,315.23,319.78,313.52,2564146
2025-11-02,316.98,311.48,319.92,308.22,6309657
2025-11-03,328.8,323.13,334.18,322.54,4519389
2025-11-04,335.79,331.97,339.17,331.79,7838608
2025-11-05,337.26,334.18,342.53,332.51,4508964
2025-11-06,343.87,340.3,349.32,337.06,6750861
2025-11-07,346.59,347.61,352.4,341.65,1756088
2025-11-08,346.63,352.12,352.24,339.75,2340611
2025-11-09,342.86,349.66,353.99,338.81,1849262
2025-11-10,336.25,340.0,345.7,330.38,4124414
2025-11-11,338.97,333.46,344.06,331.85,8398365
2025-11-12,344.71,343.27,348.26,343.03,8390704
2025-11-13,354.14,347.39,358.81,344.47,5800362
2025-11-14,349.71,352.32,353.92,347.58,9533349
2025-11-15,349.58,350.38,355.07,347.4,8256091
2025-11-16,347.8,350.55,354.46,345.25,4650230
2025-11-17,351.17,351.49,357.43,346.66,1846850
2025-11-18,351.33,353.47,355.29,346.84,3153811
2025-11-19,353.9,352.33,354.44,350.26,4244744
