date,open,close,high,low,volume
2025-10-21,472.79,474.46,482.86,470.17,2396575
2025-10-22,478.53,469.29,484.92,460.13,6081506
2025-10-23,468.38,472.39,474.22,459.38,6505032
2025-10-24,464.67,461.29,466.75,455.48,6025142
2025-10-25,461.17,461.02,468.67,460.96,1560027
2025-10-26,473.09,469.59,478.06,468.2,3605710
2025-10-27,458.71,465.49,468.36,455.48,1417846
2025-10-28,458.08,458.15,461.43,451.88,6762677
2025-10-29,468.85,459.9,472.74,454.65,6665928
2025-10-30,470.57,474.52,477.04,467.5,4664109
2025-10-31,485.71,477.3,494.47,472.98,3981913
2025-11-01,477.51,485.19,493.24,474.33,8546756
2025-11-02,480.96,479.51,482.03,475.15,6302513
2025-11-03,490.3,486.05,496.35,479.32,4494209
2025-11-04,485.74,491.25,497.61,482.08,2585617
2025-11-05,492.44,488.84,501.42,486.19,1449726
2025-11-06,490.59,487.68,494.66,481.0,8082950
2025-11-07,478.55,484.43,492.09,473.93,6102532
2025-11-08,478.95,482.42,489.77,474.03,9527898
2025-11-09,475.6,474.79,481.19,469.52,7279984
2025-11-10,467.68,471.88,478.32,460.08,4641022
2025-11-11,455.88,463.45,463.67,450.27,9645891
2025-11-12,452.63,450.28,455.81,443.35,1249651
2025-11-13,445.57,443.78,446.23,443.13,3314409
2025-11-14,455.17,450.2,455.35,442.36,9006011
2025-11-15,448.7,446.78,452.52,437.87,6575981
2025-11-16,459.6,451.91,464.04,448.43,1362619
2025-11-17,464.07,456.61,469.45,448.75,8694241
2025-11-18,450.5,457.44,461.12,444.62,1495914
2025-11-19,452.3,446.42,457.36,439.98,8860282
