date,open,close,high,low,volume
2025-10-21,218.03,219.83,224.11,217.33,8350632
2025-10-22,215.39,218.12,218.64,215.04,5185361
2025-10-23,215.67,219.35,221.96,212.91,4455944
2025-10-24,219.11,216.61,223.2,213.76,9032496
2025-10-25,220.67,222.47,224.82,216.31,8707004
2025-10-26,220.95,220.37,224.7,216.97,6828986
2025-10-27,215.73,217.28,219.6,214.84,2368623
2025-10-28,215.36,213.23,216.82,212.13,5721687
2025-10-29,221.75,219.68,223.86,215.85,6165984
2025-10-30,214.32,217.99,218.73,210.31,2124102
2025-10-31,219.08,216.48,220.73,215.79,2364217
2025-11-01,219.8,217.22,221.78,213.62,9326946
2025-11-02,221.89,223.06,227.17,219.03,3128941
2025-11-03,222.0,225.93,226.08,220.73,2258328
2025-11-04,219.33,221.62,224.47,216.37,8134954
2025-11-05,220.32,217.72,223.02,213.97,8867997
2025-11-06,227.78,224.34,228.13,221.77,7816844
2025-11-07,233.34,231.77,234.56,228.7,7059236
2025-11-08,235.79,236.4,239.53,233.03,9413173
2025-11-09,235.98,235.06,239.91,233.96,8109841
2025-11-10,232.37,233.73,235.12,229.07,2430658
2025-11-11,228.62,228.98,232.54,224.72,4918323
2025-11-12,226.2,229.27,232.62,222.43,9279531
2025-11-13,227.97,225.95,229.15,224.26,9537594
2025-11-14,233.01,228.73,235.87,227.61,4628792
2025-11-15,230.9,233.0,237.59,226.4,2458971
2025-11-16,236.03,233.57,239.57,231.63,1563029
2025-11-17,233.49,231.53,237.35,230.74,1896688
2025-11-18,233.43,230.19,237.72,227.83,3644916
2025-11-19,228.95,229.07,229.56,225.71,1487887
