date,open,close,high,low,volume
2025-10-21,140.65,140.76,142.23,138.06,7705510
2025-10-22,139.16,139.01,139.56,136.53,8331301
2025-10-23,136.13,137.92,138.76,134.52,3102130
2025-10-24,139.6,138.4,141.04,136.44,2333387
2025-10-25,136.69,138.1,139.13,134.32,4731272
2025-10-26,137.62,134.95,137.92,134.49,9088552
2025-10-27,137.16,138.27,139.29,135.63,9928429
2025-10-28,136.02,135.23,138.26,134.31,6286698
2025-10-29,134.1,133.56,134.49,132.02,6622614
2025-10-30,134.72,136.29,137.95,132.17,7705838
2025-10-31,133.66,135.38,136.81,132.77,8532301
2025-11-01,137.77,136.05,140.25,135.09,5451095
2025-11-02,141.0,138.76,141.66,136.97,5827285
2025-11-03,136.23,138.6,139.52,133.87,2382829
2025-11-04,133.65,134.87,135.46,131.1,7906214
2025-11-05,136.05,135.17,138.46,134.3,2502639
2025-11-06,136.3,133.94,137.63,131.5,3363782
2025-11-07,138.63,136.44,138.67,135.16,3017154
2025-11-08,140.84,138.7,141.42,137.9,8222961
2025-11-09,138.82,139.92,141.44,136.06,9367651
2025-11-10,137.01,137.99,139.32,136.55,4374881
2025-11-11,135.2,134.99,137.41,134.23,4673486
2025-11-12,137.66,135.98,140.14,133.31,7082174
2025-11-13,140.04,138.46,142.29,138.37,3252252
2025-11-14,139.85,142.39,144.54,137.5,4382004
2025-11-15,138.95,141.35,142.18,137.96,9746893
2025-11-16,138.77,136.94,140.86,136.84,1559760
2025-11-17,136.03,136.69,137.6,134.05,8261892
2025-11-18,139.73,138.28,140.7,138.02,8510401
2025-11-19,138.73,138.35,141.24,137.09,6941171
