date,open,close,high,low,volume
2025-10-21,321.97,322.38,326.33,321.37,4383580
2025-10-22,326.48,320.2,327.88,319.47,7996854
2025-10-23,323.34,326.94,327.12,318.16,4769246
2025-10-24,317.62,317.8,321.31,313.72,1173256
2025-10-25,310.05,315.02,320.5,306.7,3382364
2025-10-26,311.44,312.81,316.52,307.34,1462814
2025-10-27,313.75,308.06,314.54,303.25,6974148
2025-10-28,311.33,310.53,316.49,306.99,6088928
2025-10-29,308.47,313.1,318.86,305.9,1046079
2025-10-30,304.27,305.59,306.14,300.84,7215696
2025-10-31,305.23,309.11,310.65,302.31,8255284
2025-11-01,301.88,302.39,305.55,300.36,7023457
2025-11-02,306.7,307.22,308.42,303.71,5172690
2025-11-03,296.24,301.94,303.96,292.12,5717818
2025-11-04,298.84,294.2,302.76,290.68,5078138
2025-11-05,302.93,302.26,306.07,298.78,7610879
2025-11-06,310.33,305.29,312.17,304.02,6848755
2025-11-07,309.73,313.1,314.2,305.81,5545545
2025-11-08,314.9,314.03,317.83,309.6,1653550
2025-11-09,312.8,310.4,317.08,305.86,4626273
2025-11-10,313.4,311.96,314.0,307.81,7894674
2025-11-11,302.19,307.52,311.25,297.3,7798130
2025-11-12,300.55,303.07,304.45,298.6,4797099
2025-11-13,308.79,305.92,311.11,301.86,1511845
2025-11-14,308.38,312.06,312.63,305.38,3729522
2025-11-15,309.04,313.72,316.47,304.5,4926004
2025-11-16,317.95,313.91,319.11,312.79,4751214
2025-11-17,311.63,316.25,322.03,307.87,5971104
2025-11-18,312.43,310.41,314.33,307.13,4061830
2025-11-19,310.32,311.72,315.55,304.47,6730411
