date,open,close,high,low,volume
2025-10-21,434.99,439.95,445.8,433.58,1643905
2025-10-22,429.41,437.22,439.42,421.84,4908703
2025-10-23,428.8,436.57,442.77,426.71,5233063
2025-10-24,431.28,423.66,435.22,421.48,8219786
2025-10-25,436.26,435.72,442.74,433.73,1040615
2025-10-26,428.75,431.2,436.02,421.75,3347213
2025-10-27,435.99,436.12,444.81,435.49,4658526
2025-10-28,444.72,441.43,452.32,440.1,6615080
2025-10-29,449.92,444.87,458.15,440.33,6321090
2025-10-30,438.37,445.31,449.74,435.22,4828293
2025-10-31,447.64,444.2,454.84,442.51,7707581
2025-11-01,454.93,448.32,459.5,445.51,8785816
2025-11-02,451.16,446.39,453.75,440.08,1775508
2025-11-03,463.27,454.68,463.59,447.98,6306080
2025-11-04,459.3,465.83,470.2,456.66,4559386
2025-11-05,473.68,465.29,480.67,458.04,9875085
2025-11-06,480.61,483.31,486.43,472.63,7764388
2025-11-07,477.06,476.82,478.52,474.39,5177779
2025-11-08,465.38,470.42,471.95,456.88,5154476
2025-11-09,460.7,462.37,462.41,451.84,7514075
2025-11-10,467.83,467.58,472.35,458.77,5004705
2025-11-11,463.13,460.45,465.46,453.97,7420429
2025-11-12,450.36,457.2,459.28,448.11,4947212
2025-11-13,442.07,441.79,450.28,434.65,1605269
2025-11-14,446.74,446.47,453.32,444.54,5456287
2025-11-15,458.62,453.42,467.12,452.84,4043299
2025-11-16,458.8,459.46,465.22,458.62,7938594
2025-11-17,459.86,463.44,468.26,458.16,1358042
2025-11-18,456.71,458.88,461.32,447.81,1841933
2025-11-19,454.38,448.44,459.08,446.68,9594640
