date,open,close,high,low,volume
2025-10-21,363.88,360.13,364.41,356.18,2348329
2025-10-22,366.06,368.85,371.3,359.44,8401442
2025-10-23,376.41,371.12,383.52,364.45,6954270
2025-10-24,371.15,378.26,385.46,367.42,9034172
2025-10-25,367.15,371.09,375.03,362.94,4792641
2025-10-26,363.6,364.56,369.7,362.24,5829121
2025-10-27,356.55,361.6,363.14,355.67,4935882
2025-10-28,360.32,360.78,365.48,353.66,5366778
2025-10-29,362.66,362.43,364.57,358.47,7251139
2025-10-30,361.72,358.79,366.26,356.73,5325878
2025-10-31,361.48,355.45,365.53,354.5,5404357
2025-11-01,369.64,362.6,376.22,358.07,4995438
2025-11-02,366.99,367.22,369.63,361.37,2086668
2025-11-03,369.3,364.05,374.89,359.57,2471542
2025-11-04,379.69,376.24,383.82,371.91,5174695
2025-11-05,371.05,376.9,384.03,366.12,4722725
2025-11-06,370.5,369.99,376.57,363.08,7050888
2025-11-07,358.95,364.18,367.57,358.49,3416145
2025-11-08,354.29,360.1,360.83,353.52,7084355
2025-11-09,354.01,347.92,360.89,343.24,2696855
2025-11-10,349.39,350.92,353.05,348.62,1123059
2025-11-11,350.64,351.69,353.61,349.79,4491860
2025-11-12,353.54,356.73,363.5,349.22,8201026
2025-11-13,343.88,347.15,351.5,339.38,7116617
2025-11-14,346.63,341.26,350.48,339.45,1946101
2025-11-15,348.29,345.56,349.37,343.42,1045666
2025-11-16,349.61,344.91,355.21,343.74,7629135
2025-11-17,359.91,354.6,366.06,351.04,2104003
2025-11-18,365.28,366.41,368.12,364.72,2260155
2025-11-19,371.34,370.25,375.03,369.11,5116840
