date,open,close,high,low,volume
2025-10-21,121.39,121.92,124.02,119.45,4580004
2025-10-22,120.36,120.75,122.06,120.12,3386842
2025-10-23,117.94,118.1,118.83,117.3,5122709
2025-10-24,119.58,118.42,121.5,117.32,1793499
2025-10-25,120.52,121.98,122.0,118.19,4088008
2025-10-26,118.2,118.97,118.97,118.18,3264361
2025-10-27,117.26,118.37,120.39,116.74,6109995
2025-10-28,116.36,118.44,118.55,116.19,8823457
2025-10-29,113.97,116.19,117.5,111.8,1384485
2025-10-30,115.24,116.28,118.24,113.86,5893129
2025-10-31,118.65,116.54,119.06,115.54,3316348
2025-11-01,116.44,118.73,119.84,116.14,3627803
2025-11-02,118.73,117.45,120.34,116.24,1971195
2025-11-03,119.28,120.96,122.45,117.87,1380920
2025-11-04,122.12,121.21,123.72,120.46,2357132
2025-11-05,118.13,120.01,121.11,115.79,6286638
2025-11-06,116.76,117.03,117.45,116.15,7948645
2025-11-07,115.04,116.33,117.89,113.98,2927630
2025-11-08,113.81,113.12,114.34,111.06,4468992
2025-11-09,110.69,112.64,114.8,109.61,1233119
2025-11-10,111.28,109.45,112.93,108.09,6790028
2025-11-11,110.39,111.15,111.43,110.02,3842847
2025-11-12,108.5,110.31,111.83,107.85,4984232
2025-11-13,107.97,106.89,108.52,106.71,2972047
2025-11-14,108.24,106.95,110.32,106.75,4365795
2025-11-15,109.67,108.49,110.28,107.96,6967155
2025-11-16,109.14,111.02,112.62,107.0,9306907
2025-11-17,108.93,107.47,110.13,106.06,4297217
2025-11-18,109.99,110.4,110.64,107.9,9438069
2025-11-19,112.12,112.22,112.73,110.71,9719727
