date,open,close,high,low,volume
2025-10-21,181.16,184.43,185.53,179.36,9831791
2025-10-22,181.32,182.3,184.63,180.69,3979812
2025-10-23,176.65,177.91,178.5,176.04,8051869
2025-10-24,173.9,177.32,177.32,171.35,9172905
2025-10-25,176.87,176.95,177.48,176.37,1474077
2025-10-26,180.96,179.84,184.39,177.2,4251051
2025-10-27,174.42,177.68,180.68,171.46,8974253
2025-10-28,174.06,174.31,175.8,172.93,8246359
2025-10-29,176.33,176.19,179.15,175.71,4658553
2025-10-30,178.21,179.9,181.05,176.86,1740194
2025-10-31,178.54,179.13,180.9,176.43,7554548
2025-11-01,180.43,179.93,181.91,177.81,7343200
2025-11-02,174.73,177.59,179.46,173.83,4475494
2025-11-03,178.77,177.89,182.27,175.79,1420531
2025-11-04,177.72,177.87,178.43,175.11,3923201
2025-11-05,177.16,176.46,179.13,176.15,8208581
2025-11-06,180.34,179.99,181.0,176.63,1513586
2025-11-07,178.4,176.82,181.25,173.77,4859473
2025-11-08,175.61,175.98,178.05,173.08,4297678
2025-11-09,177.89,174.75,178.61,174.19,1255293
2025-11-10,174.14,176.17,179.17,173.81,2978292
2025-11-11,174.9,176.94,179.4,173.75,9025983
2025-11-12,175.69,172.91,176.81,170.48,1725118
2025-11-13,180.83,177.46,181.27,176.6,2733908
2025-11-14,180.33,177.31,183.52,176.02,4538582
2025-11-15,176.84,178.37,178.5,175.07,1740890
2025-11-16,172.77,174.13,174.94,170.39,2121773
2025-11-17,176.27,173.02,179.67,169.65,3744426
2025-11-18,181.38,179.28,183.0,178.7,5357767
2025-11-19,179.64,180.54,181.21,177.99,2967422
