date,open,close,high,low,volume
2025-10-21,208.34,205.08,211.16,201.15,2085661
2025-10-22,213.36,210.49,215.18,209.61,7438384
2025-10-23,209.55,213.63,214.63,207.19,9693466
2025-10-24,206.43,206.77,208.47,205.97,5503544
2025-10-25,206.76,203.01,209.08,202.45,2563630
2025-10-26,205.97,204.02,208.48,201.47,8267981
2025-10-27,202.12,202.06,202.31,200.21,6143726
2025-10-28,206.22,205.53,206.72,205.36,8948278
2025-10-29,205.63,204.64,206.39,201.92,5510945
2025-10-30,205.01,207.01,208.76,202.08,3100040
2025-10-31,201.27,204.95,207.41,198.68,3768937
2025-11-01,201.91,199.71,203.1,196.46,1052601
2025-11-02,194.44,198.28,201.9,192.79,6094658
2025-11-03,198.93,196.31,200.92,196.14,7272457
2025-11-04,196.78,200.48,203.67,194.95,7275257
2025-11-05,197.52,195.38,198.2,194.52,3572712
2025-11-06,192.81,195.95,195.97,191.98,4256327
2025-11-07,193.27,193.75,196.12,191.68,5180647
2025-11-08,199.75,195.96,201.01,192.83,3341904
2025-11-09,200.07,200.4,202.13,199.96,1872573
2025-11-10,198.08,198.01,200.15,196.71,7112061
2025-11-11,201.8,201.58,204.89,200.26,9514981
2025-11-12,202.85,205.35,208.6,199.41,1541705
2025-11-13,198.61,201.14,202.41,198.11,4404512
2025-11-14,203.38,202.52,204.02,200.66,4065604
2025-11-15,203.41,205.27,206.74,200.31,1830707
2025-11-16,204.64,201.88,206.37,199.46,7655995
2025-11-17,207.87,206.64,208.5,204.42,6713860
2025-11-18,200.66,204.27,208.06,199.33,2638069
2025-11-19,205.37,203.93,208.41,201.25,9036892
