date,open,close,high,low,volume
2025-10-21,424.79,426.39,430.27,418.79,3194064
2025-10-22,417.2,418.42,422.72,410.69,3567878
2025-10-23,414.11,422.27,422.5,409.99,5277233
2025-10-24,410.31,417.15,425.07,403.48,7283967
2025-10-25,409.3,416.35,420.9,403.04,4904644
2025-10-26,401.15,408.07,408.26,398.1,8576854
2025-10-27,409.64,408.54,415.04,406.24,5968860
2025-10-28,397.37,402.48,406.56,395.69,3845303
2025-10-29,402.3,394.73,406.96,389.41,2050892
2025-10-30,410.73,409.06,417.13,408.59,4532417
2025-10-31,404.95,410.06,410.58,399.0,9304729
2025-11-01,407.38,405.22,408.01,401.55,9655434
2025-11-02,420.13,413.55,423.78,412.58,3636342
2025-11-03,421.43,413.05,421.77,410.38,4432003
2025-11-04,418.3,425.45,429.78,410.29,5235125
2025-11-05,416.37,424.59,429.28,413.16,6883409
2025-11-06,416.56,414.48,421.24,410.71,8163908
2025-11-07,415.43,419.67,424.79,412.76,6999772
2025-11-08,415.9,409.64,417.31,401.58,2733941
2025-11-09,425.36,423.25,432.83,421.67,3312250
2025-11-10,430.88,432.8,436.28,428.93,9319291
2025-11-11,441.51,439.46,445.51,436.65,6152228
2025-11-12,427.73,435.91,443.18,420.33,2148215
2025-11-13,430.34,423.88,433.1,421.53,7087007
2025-11-14,420.33,423.11,424.97,412.5,2068679
2025-11-15,416.01,418.03,421.07,409.2,7547703
2025-11-16,424.89,421.45,425.47,414.77,9763651
2025-11-17,415.05,418.66,418.81,412.07,9268834
2025-11-18,420.51,414.45,425.04,412.22,3386520
2025-11-19,424.47,426.33,429.54,423.73,7037169
