date,open,close,high,low,volume
2025-10-21,289.44,288.92,292.95,286.09,8394332
2025-10-22,292.23,293.77,295.98,290.51,5809718
2025-10-23,283.46,287.58,288.24,282.19,8033935
2025-10-24,286.0,287.35,289.93,285.44,8774486
2025-10-25,284.88,288.37,293.55,280.59,8170985
2025-10-26,293.21,290.68,293.6,286.1,3630780
2025-10-27,286.2,290.59,295.78,282.19,5912188
2025-10-28,279.4,283.95,287.1,276.1,6515786
2025-10-29,282.32,284.27,287.06,280.08,1267273
2025-10-30,280.85,286.01,289.11,275.3,9115446
2025-10-31,279.0,281.77,285.24,278.55,4030827
2025-11-01,280.3,277.03,284.66,274.7,6750709
2025-11-02,282.45,279.64,283.95,274.59,7528106
2025-11-03,279.27,277.29,283.12,272.2,7212004
2025-11-04,283.22,284.54,288.97,282.77,9868846
2025-11-05,280.62,277.95,285.01,274.02,3636385
2025-11-06,281.11,284.67,287.89,276.04,2422630
2025-11-07,279.18,279.31,279.99,276.97,1301783
2025-11-08,286.89,281.55,287.84,278.51,1302203
2025-11-09,283.93,283.2,285.39,282.82,6509179
2025-11-10,282.41,283.01,284.48,281.6,1697995
2025-11-11,279.25,281.65,285.58,275.21,8705017
2025-11-12,288.2,282.66,293.74,281.69,3242417
2025-11-13,297.01,291.24,299.12,288.12,9057726
2025-11-14,292.24,292.81,294.21,287.52,6671944
2025-11-15,295.06,292.95,296.4,289.81,9108188
2025-11-16,293.0,297.48,299.86,289.55,3828682
2025-11-17,300.37,297.79,304.81,292.12,3282477
2025-11-18,289.77,294.9,299.49,289.11,2321432
2025-11-19,295.71,292.51,298.85,292.4,7892026
