date,open,close,high,low,volume
2025-10-21,151.84,154.18,155.99,150.86,6163992
2025-10-22,152.29,150.79,154.92,149.39,4859892
2025-10-23,151.86,151.78,153.17,150.81,6335451
2025-10-24,155.96,154.75,158.2,152.85,1948945
2025-10-25,151.6,153.21,154.09,149.49,3958913
2025-10-26,152.76,152.44,153.13,151.28,3857653
2025-10-27,150.82,153.56,156.28,149.96,5144168
2025-10-28,147.67,149.43,149.55,146.45,9003790
2025-10-29,151.25,150.32,152.6,149.36,3961957
2025-10-30,151.72,154.02,156.23,149.52,7392974
2025-10-31,155.27,154.09,156.02,153.93,2661896
2025-11-01,153.89,153.12,155.39,152.37,3942039
2025-11-02,149.45,150.9,152.71,148.64,5433924
2025-11-03,152.37,152.11,154.68,151.03,4895185
2025-11-04,150.37,151.74,153.18,147.89,9814715
2025-11-05,146.8,147.78,150.29,143.98,4674949
2025-11-06,145.25,147.73,149.08,144.56,4894764
2025-11-07,144.88,144.73,146.35,143.82,9327869
2025-11-08,145.51,144.55,146.61,144.27,2073517
2025-11-09,142.41,144.71,147.47,140.42,8563558
2025-11-10,144.26,144.65,147.02,141.39,6525808
2025-11-11,142.82,142.92,144.49,142.46,4657858
2025-11-12,140.55,142.6,143.94,140.02,6395505
2025-11-13,138.43,140.34,143.15,135.8,1675426
2025-11-14,134.0,136.01,137.09,132.88,7085210
2025-11-15,132.62,132.21,133.85,130.05,6302176
2025-11-16,129.68,130.9,131.0,128.04,4454321
2025-11-17,127.72,129.26,129.7,126.62,5458403
2025-11-18,127.55,127.17,129.64,126.54,6106371
2025-11-19,126.51,126.01,127.19,123.92,2095090
