date,open,close,high,low,volume
2025-10-21,464.22,467.15,474.77,458.06,8452606
2025-10-22,463.01,467.9,470.49,453.76,6388501
2025-10-23,468.38,467.88,470.18,465.63,6106186
2025-10-24,477.62,474.37,485.42,470.41,5747218
2025-10-25,491.59,486.96,496.3,481.22,3670236
2025-10-26,492.21,486.57,498.72,483.26,8250862
2025-10-27,501.75,496.72,509.32,494.2,2568864
2025-10-28,516.48,508.28,519.17,500.44,1052787
2025-10-29,515.44,514.49,525.22,506.6,4016753
2025-10-30,513.98,520.7,529.43,504.01,2345346
2025-10-31,524.69,520.66,531.56,515.6,7380467
2025-11-01,534.26,530.81,540.76,521.2,8582254
2025-11-02,537.44,528.7,538.31,524.09,5203923
2025-11-03,532.96,531.34,542.17,526.72,9456182
2025-11-04,516.49,526.08,533.26,512.83,8578354
2025-11-05,515.21,511.75,516.91,503.13,1545848
2025-11-06,528.99,522.01,535.65,515.78,5387323
2025-11-07,526.79,533.59,538.13,525.18,4636751
2025-11-08,529.69,527.51,536.55,527.41,1721646
2025-11-09,524.99,530.49,537.87,515.78,4847140
2025-11-10,512.99,515.3,521.57,506.31,9247645
2025-11-11,509.71,517.48,520.46,502.0,1974424
2025-11-12,513.14,510.56,520.36,501.2,2805301
2025-11-13,514.5,512.63,517.88,512.5,4227812
2025-11-14,509.92,517.55,519.04,509.25,3589956
2025-11-15,514.9,513.92,516.7,504.44,9761919
2025-11-16,507.03,509.68,519.53,505.33,2708109
2025-11-17,499.59,500.57,504.38,498.6,9453683
2025-11-18,503.45,495.43,509.72,494.07,3274808
2025-11-19,499.54,494.88,502.52,488.04,9930237
