date,open,close,high,low,volume
2025-10-21,468.24,467.26,471.24,461.3,5462069
2025-10-22,474.32,472.44,474.84,466.97,3884968
2025-10-23,469.33,468.73,469.93,468.72,1318880
2025-10-24,473.68,466.26,480.53,458.35,7517552
2025-10-25,482.91,478.56,485.62,477.64,1907414
2025-10-26,482.03,482.97,486.89,474.13,5377208
2025-10-27,487.5,486.81,493.99,478.99,8419653
2025-10-28,492.29,490.51,501.09,483.06,6246991
2025-10-29,485.31,485.24,486.56,482.73,9839265
2025-10-30,496.37,489.39,501.04,482.44,8627793
2025-10-31,510.99,506.4,518.85,501.09,5055824
2025-11-01,501.51,508.59,517.35,499.09,1349453
2025-11-02,494.71,495.4,502.11,492.26,3994581
2025-11-03,480.85,485.92,487.67,478.43,7056307
2025-11-04,477.38,482.67,484.24,474.31,8711063
2025-11-05,476.87,485.77,487.82,475.13,7117408
2025-11-06,467.01,472.88,478.69,464.27,8354380
2025-11-07,474.05,466.22,479.57,458.73,7330986
2025-11-08,474.01,467.64,477.7,464.44,6139706
2025-11-09,474.75,482.29,488.46,472.59,9683378
2025-11-10,476.66,475.87,478.14,471.65,8649640
2025-11-11,469.32,470.97,477.77,461.4,9083525
2025-11-12,465.03,466.9,468.45,460.27,3507052
2025-11-13,462.49,465.88,468.25,453.33,9514447
2025-11-14,459.02,458.7,460.62,449.86,9072575
2025-11-15,446.26,454.5,463.45,440.9,6889532
2025-11-16,451.01,447.61,452.51,440.76,1806462
2025-11-17,458.05,459.88,461.03,449.04,7449324
2025-11-18,454.37,461.5,464.97,450.49,7447019
2025-11-19,454.06,456.01,456.43,445.99,1823178
