date,open,close,high,low,volume
2025-10-21,170.25,170.22,170.53,169.48,4492473
2025-10-22,173.95,170.69,176.38,169.14,5581312
2025-10-23,171.73,171.07,174.79,168.67,7684345
2025-10-24,173.2,171.11,173.29,168.61,9677409
2025-10-25,173.23,172.97,176.59,171.2,8261978
2025-10-26,172.83,173.41,173.9,171.91,7215114
2025-10-27,178.96,175.54,179.69,173.03,5555420
2025-10-28,178.06,181.26,184.74,176.3,9571902
2025-10-29,180.74,180.57,182.24,179.65,9470738
2025-10-30,181.13,181.69,184.71,178.84,4283190
2025-10-31,178.26,179.79,182.97,176.93,9722768
2025-11-01,181.42,178.3,182.68,178.06,1037832
2025-11-02,179.64,178.31,180.3,175.39,1573222
2025-11-03,179.72,179.02,181.15,176.43,7801133
2025-11-04,183.35,181.83,186.08,178.74,1338467
2025-11-05,183.86,182.89,187.26,182.63,3925690
2025-11-06,185.35,182.33,186.61,180.13,3019889
2025-11-07,187.44,185.46,189.17,183.83,5172879
2025-11-08,192.72,190.56,194.91,190.53,5973821
2025-11-09,188.46,192.05,194.34,186.0,9648366
2025-11-10,182.71,184.82,185.23,181.32,4834021
2025-11-11,186.58,184.47,188.1,184.0,9557396
2025-11-12,183.7,187.0,187.96,183.65,4515229
2025-11-13,178.64,181.93,182.95,175.99,5635966
2025-11-14,179.89,180.18,180.23,177.65,4570387
2025-11-15,180.04,178.57,181.14,178.19,2877729
2025-11-16,180.94,183.64,187.1,179.24,1763011
2025-11-17,182.6,180.62,185.19,178.07,8298201
2025-11-18,182.98,180.9,184.19,180.18,5829662
2025-11-19,178.69,180.99,183.08,176.51,3041396
