date,open,close,high,low,volume
2025-10-21,235.25,233.07,238.98,230.02,3418650
2025-10-22,228.72,231.7,232.2,227.02,6625666
2025-10-23,225.62,224.33,229.68,221.39,8023636
2025-10-24,221.02,222.76,226.72,219.03,5633209
2025-10-25,219.4,217.03,223.78,212.92,9039094
2025-10-26,226.02,223.33,230.39,221.1,4069227
2025-10-27,231.78,230.2,235.64,226.66,8669980
2025-10-28,234.67,233.13,237.74,230.58,5486622
2025-10-29,243.18,239.0,246.6,235.49,1712685
2025-10-30,244.94,242.15,247.99,238.39,9782268
2025-10-31,241.8,241.21,245.41,236.64,1493566
2025-11-01,236.58,238.37,240.67,234.89,8747832
2025-11-02,230.36,233.62,237.28,228.88,9885529
2025-11-03,234.92,232.41,235.28,231.17,4966927
2025-11-04,240.32,237.94,243.29,233.33,5920718
2025-11-05,246.91,242.6,248.55,239.36,6264032
2025-11-06,240.93,244.38,247.82,240.54,1277433
2025-11-07,241.54,242.1,244.54,236.75,7695877
2025-11-08,244.15,242.23,248.14,241.35,7983024
2025-11-09,248.88,248.27,250.04,246.63,2378185
2025-11-10,247.28,245.99,248.74,241.75,2025020
2025-11-11,247.15,246.24,251.61,241.53,3488113
2025-11-12,253.44,249.08,256.36,245.47,8600558
2025-11-13,248.65,250.35,250.83,244.85,4235171
2025-11-14,244.26,248.84,251.56,241.43,2005353
2025-11-15,236.6,240.46,241.6,234.28,7193423
2025-11-16,238.92,234.79,240.09,233.61,4670512
2025-11-17,233.1,237.08,240.71,229.67,4285577
2025-11-18,237.79,234.98,238.56,233.16,2729240
2025-11-19,237.75,241.2,241.56,235.6,4179345
