date,open,close,high,low,volume
2025-10-21,266.43,264.92,266.51,262.8,1477191
2025-10-22,270.77,270.63,270.86,266.71,6445617
2025-10-23,265.04,267.82,269.76,262.54,4620409
2025-10-24,267.45,270.1,270.12,266.88,5983956
2025-10-25,267.03,268.84,270.88,262.31,9673718
2025-10-26,272.4,269.29,272.99,264.7,8220007
2025-10-27,271.04,269.15,276.46,267.49,3749100
2025-10-28,273.46,269.05,275.62,266.66,2967840
2025-10-29,267.55,268.29,273.59,265.02,2111835
2025-10-30,265.87,267.78,270.76,262.23,8496416
2025-10-31,270.35,266.66,273.45,263.71,2130465
2025-11-01,267.74,271.78,272.4,262.74,8432306
2025-11-02,265.43,270.11,273.53,263.14,8823245
2025-11-03,270.75,266.64,271.35,264.63,6605415
2025-11-04,276.55,273.23,277.32,272.36,9782139
2025-11-05,279.77,280.08,285.37,277.74,5921996
2025-11-06,285.37,282.37,285.48,277.46,9737121
2025-11-07,285.53,286.41,287.17,283.5,9213301
2025-11-08,282.01,286.1,288.81,280.03,3499107
2025-11-09,280.74,285.1,285.81,275.39,9293209
2025-11-10,281.5,286.21,291.13,277.77,2439918
2025-11-11,283.93,280.04,287.67,278.08,7277038
2025-11-12,277.58,280.59,284.27,277.21,7199017
2025-11-13,268.97,273.66,279.04,265.17,9530510
2025-11-14,275.01,271.68,277.67,271.24,3352909
2025-11-15,278.11,279.87,281.39,275.99,8862764
2025-11-16,281.98,279.58,282.26,274.51,3017773
2025-11-17,284.55,283.07,289.55,279.36,9466644
2025-11-18,282.48,279.26,285.36,276.2,6956644
2025-11-19,275.13,280.48,283.53,271.75,5927617
