date,open,close,high,low,volume
2025-10-21,301.0,305.8,306.99,297.21,5231059
2025-10-22,297.77,299.37,304.21,295.11,6315867
2025-10-23,299.8,301.25,305.26,297.1,1934714
2025-10-24,300.68,300.42,305.11,299.69,9560193
2025-10-25,298.38,300.72,301.97,295.36,9813664
2025-10-26,294.44,295.15,295.47,288.8,6177865
2025-10-27,299.16,297.1,304.77,294.38,1995416
2025-10-28,302.7,300.67,306.49,297.11,3792591
2025-10-29,301.64,307.43,308.54,295.64,4707988
2025-10-30,291.09,296.02,301.46,286.68,8438815
2025-10-31,291.6,285.85,295.57,284.77,4045760
2025-11-01,301.49,296.62,302.15,294.35,7505779
2025-11-02,303.92,303.71,306.64,302.96,8403520
2025-11-03,305.82,306.06,306.72,301.85,7519359
2025-11-04,316.02,310.85,316.26,306.6,7902641
2025-11-05,317.91,315.3,318.52,312.85,2600393
2025-11-06,311.7,313.86,316.98,309.38,8015231
2025-11-07,319.28,315.81,319.82,312.67,1219405
2025-11-08,311.4,314.39,316.43,308.37,9421486
2025-11-09,314.15,308.11,316.14,301.96,2335893
2025-11-10,318.97,314.32,325.11,314.28,4683568
2025-11-11,321.75,323.67,329.16,319.39,2855689
2025-11-12,330.21,327.65,334.31,323.07,7134682
2025-11-13,329.1,330.46,336.3,326.88,4428312
2025-11-14,324.41,329.69,335.5,318.2,8695644
2025-11-15,319.26,322.53,327.74,318.76,2579102
2025-11-16,323.37,322.81,324.39,320.99,9001932
2025-11-17,320.12,324.1,327.6,317.83,7382011
2025-11-18,328.34,326.63,333.56,321.38,3267402
2025-11-19,329.96,332.38,333.23,324.54,9732930
