date,open,close,high,low,volume
2025-10-21,153.73,156.27,157.67,153.41,9538526
2025-10-22,157.95,156.26,158.38,155.47,6214316
2025-10-23,160.43,160.0,161.89,159.46,9218922
2025-10-24,163.29,163.49,164.93,162.02,4907790
2025-10-25,165.68,164.18,168.14,162.45,1202102
2025-10-26,165.85,168.74,170.04,165.68,4958185
2025-10-27,167.42,169.21,171.87,166.41,6965816
2025-10-28,172.33,170.03,174.08,168.53,3817040
2025-10-29,173.91,172.71,175.58,171.52,4091008
2025-10-30,170.01,171.22,172.51,167.61,9996168
2025-10-31,165.72,167.2,170.27,163.93,1175290
2025-11-01,165.41,167.19,168.75,162.39,4096137
2025-11-02,168.52,168.05,171.0,164.74,5863054
2025-11-03,166.93,165.98,170.09,163.05,6887865
2025-11-04,166.59,164.86,166.72,162.34,4165375
2025-11-05,167.69,167.79,169.17,164.43,2674598
2025-11-06,171.58,170.13,173.33,167.24,5566536
2025-11-07,166.91,168.23,171.54,163.76,9021011
2025-11-08,166.1,165.32,167.93,163.75,7236421
2025-11-09,169.21,168.45,171.76,166.61,2937978
2025-11-10,166.35,168.63,169.14,165.76,5956233
2025-11-11,167.15,164.41,168.18,164.37,2413626
2025-11-12,168.42,165.51,170.2,164.38,8897436
2025-11-13,170.32,169.0,173.22,168.92,3114313
2025-11-14,168.31,167.8,168.83,165.97,2350789
2025-11-15,171.76,171.45,173.51,170.01,8820861
2025-11-16,173.44,170.56,173.8,168.66,4509354
2025-11-17,170.29,172.34,174.97,168.0,4544936
2025-11-18,170.44,173.29,173.98,167.18,5804031
2025-11-19,173.17,170.21,174.7,169.69,2241135
