date,open,close,high,low,volume
2025-10-21,233.71,233.31,235.47,229.19,4071012
2025-10-22,233.82,234.08,234.2,230.05,3217239
2025-10-23,235.31,237.68,238.76,233.48,5457671
2025-10-24,234.75,234.07,235.46,229.66,7656145
2025-10-25,241.23,237.05,245.59,234.47,6543253
2025-10-26,237.87,236.75,238.72,234.03,8252166
2025-10-27,239.02,236.44,243.15,232.13,9367984
2025-10-28,244.37,240.63,248.27,239.31,2984799
2025-10-29,243.87,241.36,248.25,241.01,7108773
2025-10-30,241.91,241.13,244.05,237.02,4330212
2025-10-31,246.28,243.57,247.77,238.98,4359401
2025-11-01,250.93,246.88,252.42,242.33,6355936
2025-11-02,260.48,255.71,260.82,252.05,8829088
2025-11-03,254.62,255.5,260.5,250.82,5201128
2025-11-04,259.36,256.28,260.29,255.6,6838864
2025-11-05,261.44,259.47,263.11,255.24,2644028
2025-11-06,263.34,260.09,268.22,256.52,1293871
2025-11-07,265.36,260.23,269.03,257.65,6662488
2025-11-08,271.84,267.29,273.0,265.93,7166599
2025-11-09,269.61,267.07,271.63,266.63,8935729
2025-11-10,278.53,273.36,279.76,272.83,5237918
2025-11-11,280.51,278.09,283.96,272.82,4153739
2025-11-12,287.06,281.98,291.02,276.7,3033498
2025-11-13,284.84,286.88,287.77,279.72,9046757
2025-11-14,281.1,285.4,290.98,277.6,7327213
2025-11-15,276.42,276.56,276.88,275.12,2173345
2025-11-16,284.02,282.06,285.56,278.85,8907265
2025-11-17,290.77,285.76,294.98,280.92,9462699
2025-11-18,291.75,287.48,292.25,284.06,2641328
2025-11-19,290.29,291.56,296.06,288.99,7198227
