date,open,close,high,low,volume
2025-10-21,131.33,129.08,133.08,127.93,7412432
2025-10-22,130.87,131.08,133.11,130.79,3657128
2025-10-23,129.59,128.77,129.7,128.14,6840247
2025-10-24,132.6,130.95,133.54,129.68,7269127
2025-10-25,134.16,131.75,136.52,130.57,7229949
2025-10-26,134.66,134.85,135.27,132.95,1567635
2025-10-27,135.79,135.75,137.24,133.33,9073222
2025-10-28,135.44,136.9,139.01,133.89,9811893
2025-10-29,139.43,137.09,141.11,134.36,6565392
2025-10-30,139.75,140.45,141.46,138.96,5404576
2025-10-31,140.15,137.65,141.55,137.1,8148957
2025-11-01,140.54,142.52,144.12,137.88,7808758
2025-11-02,140.33,140.57,142.59,137.92,3926562
2025-11-03,135.19,137.85,139.52,133.89,1458385
2025-11-04,136.6,135.88,136.87,133.46,5302135
2025-11-05,134.01,135.15,137.21,132.47,9109730
2025-11-06,135.19,134.5,137.04,132.39,1459900
2025-11-07,134.98,133.85,135.24,131.63,3312336
2025-11-08,137.69,135.34,138.51,135.26,6087832
2025-11-09,138.69,137.18,139.35,134.98,7006865
2025-11-10,135.25,136.97,138.75,132.69,3182458
2025-11-11,134.56,136.59,139.21,134.3,9601585
2025-11-12,135.34,136.2,138.45,135.11,2513612
2025-11-13,134.93,133.83,136.53,133.82,1142260
2025-11-14,134.58,136.98,137.52,132.38,1923100
2025-11-15,137.08,136.96,138.73,136.06,8588518
2025-11-16,140.43,138.87,141.81,137.04,6597691
2025-11-17,143.01,140.98,144.85,138.97,7961024
2025-11-18,148.19,145.33,148.91,144.46,7205045
2025-11-19,147.83,146.0,150.68,143.46,1837123
