date,open,close,high,low,volume
2025-10-21,151.6,152.85,155.52,149.46,6917221
2025-10-22,151.47,153.89,155.8,150.88,6306120
2025-10-23,148.66,150.23,151.16,148.55,7134933
2025-10-24,151.08,149.61,153.21,147.38,5176315
2025-10-25,151.7,150.56,151.87,148.22,3233540
2025-10-26,149.62,151.56,152.63,149.0,6189899
2025-10-27,150.16,149.43,152.34,147.34,4705439
2025-10-28,148.74,151.27,153.24,148.55,2150426
2025-10-29,148.74,149.81,150.86,146.17,7907146
2025-10-30,147.46,146.4,149.18,144.62,3381900
2025-10-31,143.76,145.83,146.9,141.62,3700349
2025-11-01,147.67,144.75,149.75,143.16,3935017
2025-11-02,148.86,147.16,150.72,145.71,2768029
2025-11-03,148.35,148.22,149.11,146.0,1281635
2025-11-04,148.54,148.59,148.77,146.93,3879336
2025-11-05,148.24,149.06,149.57,146.93,3109835
2025-11-06,142.7,145.43,147.73,141.05,2036172
2025-11-07,141.75,143.02,144.22,140.75,5091552
2025-11-08,140.31,142.36,143.18,139.8,3100648
2025-11-09,134.94,137.62,139.44,133.13,9996075
2025-11-10,134.43,132.87,134.71,132.14,6733905
2025-11-11,137.99,136.02,138.36,135.37,3328987
2025-11-12,139.26,136.99,141.97,134.75,5601440
2025-11-13,139.19,141.7,144.29,136.52,9049368
2025-11-14,136.44,138.61,139.34,135.34,1124907
2025-11-15,135.31,137.41,139.72,135.21,7832403
2025-11-16,133.17,132.82,134.67,131.49,1586224
2025-11-17,135.95,134.14,137.72,132.14,2291405
2025-11-18,131.65,134.27,136.03,130.35,8598996
2025-11-19,130.78,129.35,131.33,127.5,1320159
