date,open,close,high,low,volume
2025-10-21,235.92,233.08,236.47,229.97,9212964
2025-10-22,236.78,238.06,238.26,235.54,7913750
2025-10-23,230.43,232.64,233.23,226.74,2636858
2025-10-24,223.32,226.71,231.21,218.91,5069390
2025-10-25,218.82,220.46,221.07,214.71,1915755
2025-10-26,215.45,219.03,221.22,213.82,4553063
2025-10-27,209.48,211.58,212.84,209.39,4256692
2025-10-28,206.63,206.9,209.04,204.24,2798396
2025-10-29,210.28,210.74,211.23,209.31,2066365
2025-10-30,211.43,211.81,213.96,210.69,3443100
2025-10-31,209.5,208.41,213.41,206.81,8404996
2025-11-01,208.27,207.75,212.15,206.54,2625470
2025-11-02,213.54,210.08,215.67,206.6,8376618
2025-11-03,220.27,216.63,223.59,215.8,3921987
2025-11-04,219.61,220.95,222.86,218.13,7917918
2025-11-05,216.07,217.15,221.0,214.71,6681092
2025-11-06,215.38,212.08,218.5,208.94,1503308
2025-11-07,221.75,218.74,223.89,214.67,8017704
2025-11-08,222.85,218.53,224.08,217.92,4851666
2025-11-09,221.33,219.15,222.28,216.13,4958054
2025-11-10,221.28,220.48,223.92,216.73,4411321
2025-11-11,218.71,217.88,219.3,216.8,2209716
2025-11-12,218.99,218.82,221.68,214.68,5551627
2025-11-13,222.04,218.62,223.35,218.14,8424520
2025-11-14,224.29,222.43,226.91,221.44,3278833
2025-11-15,222.11,224.51,228.57,221.92,8380643
2025-11-16,220.48,222.82,226.95,216.21,3369625
2025-11-17,217.37,219.5,223.31,214.71,5277638
2025-11-18,216.49,218.52,220.51,215.25,4139867
2025-11-19,217.23,217.98,220.43,213.7,5575115
