date,open,close,high,low,volume
2025-10-21,377.21,382.63,389.14,370.32,6382320
2025-10-22,374.27,369.92,378.73,367.92,6236467
2025-10-23,370.27,369.13,372.98,366.77,6975370
2025-10-24,379.55,376.43,384.46,375.98,9121266
2025-10-25,392.17,385.34,394.45,379.4,1448849
2025-10-26,396.23,393.7,401.47,391.61,8974534
2025-10-27,402.29,394.85,409.31,389.84,4168759
2025-10-28,413.38,407.57,416.31,407.46,1307958
2025-10-29,425.07,420.86,429.03,420.61,8909809
2025-10-30,416.59,417.29,421.14,416.4,8728710
2025-10-31,427.26,423.01,428.09,419.59,1877733
2025-11-01,442.09,435.69,450.79,430.98,4163121
2025-11-02,440.85,439.41,442.74,436.08,1783538
2025-11-03,451.34,446.23,453.82,441.22,8351950
2025-11-04,449.76,453.27,459.17,441.38,1809070
2025-11-05,448.95,449.27,457.62,446.34,6277491
2025-11-06,453.09,449.44,453.88,444.95,6480523
2025-11-07,453.43,455.77,464.68,447.83,2683451
2025-11-08,466.91,458.57,472.52,454.18,2670099
2025-11-09,469.13,469.88,475.76,462.5,6250785
2025-11-10,470.22,466.57,477.91,460.92,3398240
2025-11-11,460.15,461.74,461.75,458.58,2257290
2025-11-12,451.59,454.18,462.15,451.37,9748191
2025-11-13,456.5,455.49,463.09,447.3,3432490
2025-11-14,457.82,457.55,464.91,457.03,5192509
2025-11-15,444.09,450.79,458.56,443.45,2432403
2025-11-16,447.88,448.36,454.4,443.51,8646254
2025-11-17,442.12,448.75,453.54,439.21,6362032
2025-11-18,442.64,437.8,449.31,430.95,6873153
2025-11-19,440.99,441.66,442.22,435.42,1760289
