date,open,close,high,low,volume
2025-10-21,194.8,195.45,197.13,194.38,5331613
2025-10-22,196.27,194.46,197.32,192.05,2491282
2025-10-23,192.92,194.86,195.7,190.74,6230503
2025-10-24,195.65,195.5,199.55,195.26,6228016
2025-10-25,196.11,197.75,201.45,192.82,9884511
2025-10-26,195.94,193.84,198.16,190.87,2941057
2025-10-27,194.45,198.28,201.18,193.33,2299310
2025-10-28,193.57,195.54,197.14,190.08,4018090
2025-10-29,189.86,192.02,194.51,189.64,8678362
2025-10-30,189.86,191.97,194.94,189.69,5708379
2025-10-31,185.58,188.67,190.69,182.54,6753682
2025-11-01,185.67,185.03,189.32,182.94,4905582
2025-11-02,183.87,187.15,190.04,181.52,7538073
2025-11-03,188.33,185.0,189.03,183.64,5402517
2025-11-04,188.78,187.65,189.11,184.36,7782220
2025-11-05,191.17,187.92,194.8,187.87,6864210
2025-11-06,186.45,188.94,189.23,184.55,6666879
2025-11-07,186.38,186.21,187.42,183.63,1951318
2025-11-08,186.82,189.18,191.94,184.2,6713380
2025-11-09,185.1,186.62,188.23,181.47,2967437
2025-11-10,184.45,182.13,186.14,180.22,4794046
2025-11-11,181.33,183.69,186.28,180.47,6133601
2025-11-12,182.28,180.49,185.24,177.08,9806136
2025-11-13,178.85,178.85,180.08,178.12,3567328
2025-11-14,179.19,178.65,181.71,175.55,2546604
2025-11-15,179.29,181.76,183.9,176.6,2197172
2025-11-16,184.12,181.03,186.21,179.13,5077282
2025-11-17,180.52,181.96,184.74,177.01,1891719
2025-11-18,181.5,182.79,184.69,179.09,1215817
2025-11-19,183.52,184.89,186.64,183.44,9268318
