date,open,close,high,low,volume
2025-10-21,310.38,310.23,315.17,309.43,5407421
2025-10-22,314.38,313.71,319.3,311.25,8363932
2025-10-23,312.85,312.68,318.3,309.73,4422878
2025-10-24,311.34,307.72,316.42,305.64,9684442
2025-10-25,311.46,309.81,313.16,306.38,5948372
2025-10-26,320.98,317.09,322.07,313.55,8657534
2025-10-27,319.17,317.38,325.21,313.38,5226316
2025-10-28,315.25,318.08,320.16,312.2,4339942
2025-10-29,321.09,319.53,324.94,318.51,9198409
2025-10-30,324.31,321.14,324.6,314.77,3634026
2025-10-31,332.35,330.44,333.54,327.87,4385897
2025-11-01,331.49,328.61,334.83,326.16,4589805
2025-11-02,339.46,335.0,345.22,330.23,1782758
2025-11-03,331.84,336.31,342.41,330.02,3370511
2025-11-04,330.06,329.24,332.59,328.84,3956039
2025-11-05,337.85,333.9,344.53,329.17,9202310
2025-11-06,330.96,336.02,341.07,330.28,2547858
2025-11-07,340.34,334.31,342.75,327.66,9664313
2025-11-08,342.93,338.02,344.53,335.79,5026880
2025-11-09,338.51,342.66,344.77,338.37,1169452
2025-11-10,334.58,335.35,339.78,331.09,9945050
2025-11-11,326.62,329.65,330.08,323.88,5189385
2025-11-12,324.58,327.99,331.06,320.19,2405892
2025-11-13,314.85,319.91,323.72,312.78,5604852
2025-11-14,314.96,311.66,320.37,311.16,3564667
2025-11-15,314.27,310.75,315.78,306.18,8128490
2025-11-16,313.33,317.01,321.35,313.07,1852432
2025-11-17,321.85,315.95,328.07,309.7,4130062
2025-11-18,319.17,321.25,325.91,318.4,9438469
2025-11-19,317.9,315.3,319.79,309.45,4523834
