date,open,close,high,low,volume
2025-10-21,357.85,363.67,369.15,354.18,5607503
2025-10-22,360.29,357.29,361.13,356.0,5746513
2025-10-23,356.03,359.97,364.19,354.78,9934063
2025-10-24,370.36,362.96,373.57,356.42,4627702
2025-10-25,376.33,374.19,376.36,370.3,4184808
2025-10-26,370.36,369.1,376.37,363.77,7206285
2025-10-27,368.33,366.69,375.12,359.91,2149581
2025-10-28,368.96,370.92,374.04,368.84,1396607
2025-10-29,374.48,375.12,376.96,374.44,2760516
2025-10-30,370.5,373.24,378.0,365.3,9344403
2025-10-31,369.12,374.84,380.14,365.57,8242735
2025-11-01,366.36,370.25,372.74,362.32,2004528
2025-11-02,361.81,368.35,375.23,354.65,8660203
2025-11-03,361.84,356.26,367.24,350.45,4556024
2025-11-04,366.73,359.43,370.21,356.16,4601417
2025-11-05,380.89,373.58,386.82,367.9,6743386
2025-11-06,379.9,382.65,386.12,372.76,9612609
2025-11-07,369.12,374.83,380.17,364.0,4740424
2025-11-08,374.65,373.62,379.55,369.39,8790640
2025-11-09,382.57,379.87,385.55,375.02,4746985
2025-11-10,382.48,381.71,385.0,376.75,5645570
2025-11-11,389.97,387.3,390.17,381.98,6429950
2025-11-12,385.57,382.42,387.28,382.11,7014239
2025-11-13,398.15,391.25,401.24,390.92,8170980
2025-11-14,407.29,404.53,409.9,396.66,5760858
2025-11-15,419.98,414.03,424.8,412.77,9451078
2025-11-16,420.81,426.26,434.78,417.9,4647417
2025-11-17,417.03,415.96,418.99,412.58,8841573
2025-11-18,418.82,419.81,422.61,418.49,8174009
2025-11-19,427.37,423.69,428.05,420.91,5057355
