date,open,close,high,low,volume
2025-10-21,376.58,372.67,382.06,367.48,8016058
2025-10-22,376.68,371.65,381.81,366.73,5660804
2025-10-23,362.71,369.6,372.15,361.12,8598466
2025-10-24,358.18,357.57,363.6,356.18,5351431
2025-10-25,349.61,354.49,357.56,345.01,7350671
2025-10-26,343.79,348.42,353.57,341.86,7029271
2025-10-27,334.92,337.22,342.13,333.32,1001536
2025-10-28,331.49,338.03,341.62,325.63,1196591
2025-10-29,331.88,334.95,339.52,326.87,5292960
2025-10-30,340.46,336.36,342.88,333.13,5383030
2025-10-31,332.66,334.51,339.23,327.59,4236536
2025-11-01,335.74,331.68,341.54,325.71,8432314
2025-11-02,338.71,333.1,345.1,327.07,3760178
2025-11-03,343.56,344.93,350.84,339.66,8880707
2025-11-04,342.45,344.53,348.5,341.55,5473547
2025-11-05,349.06,349.24,351.57,347.7,8458064
2025-11-06,357.32,353.51,359.39,352.07,5297066
2025-11-07,348.92,352.18,354.38,342.22,9745165
2025-11-08,340.33,346.95,348.53,336.99,8922262
2025-11-09,341.57,345.84,351.71,335.75,5460408
2025-11-10,340.84,344.56,345.55,340.11,6989622
2025-11-11,348.17,344.19,349.35,339.89,8995495
2025-11-12,345.76,349.23,354.67,341.94,6214248
2025-11-13,352.46,350.21,358.11,346.01,6814043
2025-11-14,352.95,357.67,358.07,351.3,2029630
2025-11-15,347.66,353.74,357.09,343.17,9120738
2025-11-16,355.9,353.08,357.49,352.31,1287306
2025-11-17,350.95,355.82,360.4,349.43,8574159
2025-11-18,358.5,351.41,359.75,345.22,7639748
2025-11-19,360.49,360.99,361.65,353.67,2939633
