date,open,close,high,low,volume
2025-10-21,126.43,127.6,129.9,124.92,9914571
2025-10-22,126.28,126.59,128.87,123.84,5843699
2025-10-23,130.26,128.19,130.37,126.4,8324283
2025-10-24,132.22,131.07,132.59,130.94,8917808
2025-10-25,129.99,130.96,131.66,127.41,6920655
2025-10-26,130.33,129.83,132.06,129.66,1720899
2025-10-27,131.96,129.58,133.91,128.64,4478296
2025-10-28,133.08,133.54,135.58,131.46,8469782
2025-10-29,132.48,134.53,135.66,131.76,3563872
2025-10-30,130.46,130.59,130.94,128.05,2397818
2025-10-31,131.46,132.4,133.04,131.09,3727244
2025-11-01,131.64,132.87,134.07,129.77,5419623
2025-11-02,133.73,132.51,133.9,132.38,7180515
2025-11-03,131.13,132.95,134.15,131.03,8687053
2025-11-04,132.14,132.65,135.07,130.64,2046543
2025-11-05,130.71,129.72,132.75,129.37,3491887
2025-11-06,131.53,129.97,133.29,128.64,2340942
2025-11-07,131.27,131.59,133.83,129.19,6384273
2025-11-08,133.89,131.54,136.07,131.49,7368406
2025-11-09,134.69,133.94,135.83,133.02,4961767
2025-11-10,133.38,134.55,136.91,131.19,1547954
2025-11-11,131.78,133.06,134.14,129.49,4667584
2025-11-12,132.55,132.06,133.71,131.69,7589951
2025-11-13,133.56,132.69,133.85,131.58,7496107
2025-11-14,135.22,134.25,136.06,134.07,9569030
2025-11-15,138.16,137.87,138.25,135.31,8722463
2025-11-16,137.49,138.39,138.52,137.2,9792215
2025-11-17,133.88,135.06,135.72,132.66,6398492
2025-11-18,134.52,132.11,135.73,131.82,3025060
2025-11-19,137.65,135.09,137.73,133.76,4588850
