date,open,close,high,low,volume
2025-10-21,196.25,196.2,199.14,192.49,9094333
2025-10-22,191.99,192.93,196.18,191.46,7017546
2025-10-23,193.41,194.01,194.57,192.35,9900477
2025-10-24,188.85,192.6,194.51,186.41,5870495
2025-10-25,187.59,190.96,192.03,185.52,3053693
2025-10-26,186.94,187.0,189.88,185.7,8899157
2025-10-27,186.46,184.38,189.05,183.02,7942881
2025-10-28,185.14,185.57,188.36,181.76,6852324
2025-10-29,187.84,186.02,190.73,182.67,7759728
2025-10-30,188.77,188.76,189.25,185.27,3965573
2025-10-31,185.98,185.99,188.35,182.86,3021224
2025-11-01,186.09,184.4,187.0,181.83,4807326
2025-11-02,187.93,185.4,188.21,182.35,5262795
2025-11-03,192.2,188.95,195.02,186.06,7000532
2025-11-04,190.18,189.78,193.42,186.63,8275361
2025-11-05,191.02,190.42,192.13,188.11,1528708
2025-11-06,188.83,190.99,192.07,188.82,1753446
2025-11-07,190.55,190.85,193.38,189.47,4263042
2025-11-08,190.98,188.99,191.04,185.59,3717782
2025-11-09,192.45,194.69,196.72,190.39,5949878
2025-11-10,191.49,194.16,195.53,190.24,7383413
2025-11-11,187.14,189.26,191.04,185.02,3599788
2025-11-12,185.89,188.78,191.54,184.3,2549059
2025-11-13,185.4,182.54,188.16,182.52,2859498
2025-11-14,183.8,183.25,184.98,183.18,7109141
2025-11-15,185.78,186.49,189.57,183.18,1673349
2025-11-16,187.27,185.97,188.79,182.92,4865637
2025-11-17,182.14,184.41,185.06,178.86,1963161
2025-11-18,187.35,184.52,190.09,181.97,9474366
2025-11-19,184.32,186.64,189.42,184.04,6462084
