date,open,close,high,low,volume
2025-10-21,185.33,181.79,187.83,181.74,8671970
2025-10-22,186.82,186.67,187.01,183.42,9812950
2025-10-23,188.98,190.05,191.18,185.82,5411958
2025-10-24,185.57,187.1,188.8,185.42,9647402
2025-10-25,184.15,186.59,187.73,183.18,3599746
2025-10-26,183.86,180.54,187.19,179.36,4228873
2025-10-27,181.49,181.64,184.62,180.01,4876360
2025-10-28,187.5,184.61,191.22,182.37,4471535
2025-10-29,185.43,187.06,189.63,183.88,6671611
2025-10-30,182.64,182.45,185.87,181.17,7518608
2025-10-31,188.02,184.86,189.54,181.84,8032531
2025-11-01,189.04,189.94,193.59,188.73,1610295
2025-11-02,188.89,187.15,189.78,186.99,4128502
2025-11-03,190.91,187.52,194.13,184.79,7872596
2025-11-04,194.23,191.37,197.29,190.91,7771578
2025-11-05,197.0,195.8,199.31,194.4,5829845
2025-11-06,192.51,195.5,195.63,189.62,9030231
2025-11-07,193.59,190.49,194.27,187.9,6190990
2025-11-08,195.47,193.41,197.86,192.33,2790627
2025-11-09,199.26,195.96,199.92,194.7,4168695
2025-11-10,198.46,201.84,201.96,194.57,2960482
2025-11-11,200.05,198.18,203.23,194.55,8525657
2025-11-12,198.91,198.52,200.24,195.43,3681033
2025-11-13,195.77,199.28,202.68,193.56,3562878
2025-11-14,196.53,193.07,199.85,191.6,1364378
2025-11-15,199.85,199.83,200.49,196.57,8467170
2025-11-16,203.43,202.2,204.7,198.6,7367795
2025-11-17,203.37,205.85,205.87,200.27,8070417
2025-11-18,203.95,204.41,207.48,201.79,9952018
2025-11-19,200.11,203.79,207.79,198.98,3353887
