date,open,close,high,low,volume
2025-10-21,261.58,263.5,266.99,260.51,3530999
2025-10-22,256.02,257.65,260.89,254.98,4547683
2025-10-23,254.57,256.31,256.75,251.56,9176594
2025-10-24,250.19,254.65,255.85,248.39,3693210
2025-10-25,248.43,252.91,253.02,246.68,6185200
2025-10-26,251.58,251.85,252.35,247.03,3295558
2025-10-27,254.46,252.73,259.47,252.36,9395363
2025-10-28,260.88,257.42,262.47,253.52,8277387
2025-10-29,263.78,262.26,264.52,258.65,2502382
2025-10-30,268.65,267.08,271.99,266.84,9302008
2025-10-31,275.5,274.11,278.14,270.91,9359029
2025-11-01,284.81,280.53,290.32,278.9,7066563
2025-11-02,283.77,289.39,292.27,280.77,4083230
2025-11-03,289.92,286.79,293.57,283.87,7353184
2025-11-04,296.31,292.39,296.68,291.95,9613718
2025-11-05,296.27,292.53,299.53,288.03,7816651
2025-11-06,306.2,301.46,307.86,297.27,1143978
2025-11-07,311.15,305.29,313.5,302.13,9401619
2025-11-08,300.57,305.98,306.86,300.44,1997333
2025-11-09,302.38,306.37,312.17,300.51,5862701
2025-11-10,307.11,302.96,309.92,300.43,2475219
2025-11-11,308.56,312.39,317.01,307.9,6748635
2025-11-12,312.14,314.78,318.46,305.98,2134849
2025-11-13,311.96,314.31,317.33,308.55,3832647
2025-11-14,311.17,305.97,311.19,304.21,5143975
2025-11-15,311.25,314.91,316.43,309.48,5858651
2025-11-16,301.77,305.61,308.58,299.39,2446397
2025-11-17,296.99,296.93,300.19,292.8,4396595
2025-11-18,301.2,301.77,304.43,301.17,8893768
2025-11-19,307.0,303.59,310.91,298.28,8465276
