date,open,close,high,low,volume
2025-10-21,291.97,293.22,295.0,290.0,3289672
2025-10-22,293.41,293.36,297.6,292.81,2731121
2025-10-23,301.25,298.1,303.06,292.51,2059361
2025-10-24,301.08,299.79,304.37,294.53,4328270
2025-10-25,297.34,299.38,301.07,295.63,8308369
2025-10-26,296.76,299.68,300.11,291.24,7026901
2025-10-27,296.76,294.14,299.1,291.38,7179888
2025-10-28,295.82,299.41,301.01,290.26,3046945
2025-10-29,295.86,301.27,304.76,291.1,1345941
2025-10-30,297.19,292.85,298.93,290.41,9536013
2025-10-31,296.13,291.99,300.85,289.42,2392978
2025-11-01,302.28,300.38,305.09,300.18,8983215
2025-11-02,310.57,306.78,314.17,304.98,2680948
2025-11-03,304.49,308.14,313.24,300.96,8194288
2025-11-04,297.42,299.3,305.26,292.61,7080712
2025-11-05,302.3,297.42,306.22,295.89,1623183
2025-11-06,300.44,296.96,301.35,292.54,9441275
2025-11-07,305.75,306.13,308.15,303.34,7123308
2025-11-08,304.21,300.15,305.92,298.9,7931196
2025-11-09,312.16,306.06,315.37,303.52,8129997
2025-11-10,314.46,308.94,317.94,307.96,4289609
2025-11-11,312.44,309.07,316.31,308.17,1887483
2025-11-12,311.63,310.06,314.37,303.96,6740305
2025-11-13,314.9,312.59,317.5,309.47,2838508
2025-11-14,320.57,314.65,325.64,308.36,1910209
2025-11-15,326.02,321.08,329.83,318.46,1899984
2025-11-16,325.27,324.12,331.43,320.28,5813055
2025-11-17,331.57,330.58,333.78,328.61,4212329
2025-11-18,329.44,325.19,331.66,320.56,6622291
2025-11-19,329.17,334.58,338.28,323.78,7943598
