date,open,close,high,low,volume
2025-10-21,209.0,211.6,215.11,206.44,3527399
2025-10-22,212.09,210.72,215.84,209.94,6071551
2025-10-23,216.93,213.86,218.18,211.44,3695805
2025-10-24,218.6,214.91,221.1,214.21,5283924
2025-10-25,212.88,217.09,219.34,211.0,2695212
2025-10-26,210.98,209.39,211.51,206.55,4166899
2025-10-27,207.32,209.55,210.81,206.81,8753623
2025-10-28,200.65,203.4,207.39,196.96,8106898
2025-10-29,199.33,202.43,205.58,195.4,5868481
2025-10-30,200.63,200.68,204.42,199.54,8785693
2025-10-31,207.33,203.32,209.58,199.73,7657559
2025-11-01,208.42,206.62,209.74,202.72,5436510
2025-11-02,201.82,205.63,206.5,201.81,8130159
2025-11-03,206.55,205.05,210.59,202.79,1234236
2025-11-04,206.87,208.11,208.13,204.83,9888781
2025-11-05,206.98,209.91,211.93,205.5,6819157
2025-11-06,209.52,205.91,212.26,203.55,3675561
2025-11-07,213.93,212.09,214.27,209.32,2665285
2025-11-08,211.14,209.86,212.16,209.76,1900855
2025-11-09,213.51,215.26,216.09,212.73,2187134
2025-11-10,216.28,212.02,220.35,210.19,9975297
2025-11-11,214.6,216.45,216.7,210.91,1984279
2025-11-12,209.74,211.73,211.97,207.24,4228635
2025-11-13,209.98,206.29,212.41,203.74,8043746
2025-11-14,210.91,213.95,214.82,209.31,4419814
2025-11-15,211.82,213.29,217.31,209.51,1627629
2025-11-16,204.11,208.1,209.53,202.96,2802225
2025-11-17,206.9,204.51,208.25,201.31,6417663
2025-11-18,213.26,211.09,213.62,209.83,5875607
2025-11-19,206.9,209.91,211.56,206.52,5900714
