date,open,close,high,low,volume
2025-10-21,247.8,244.77,250.7,242.97,1892679
2025-10-22,245.82,246.15,250.23,243.54,4963322
2025-10-23,242.8,245.28,248.53,239.06,2084126
2025-10-24,239.07,238.1,241.25,236.92,3979126
2025-10-25,241.0,241.92,244.12,239.44,5255331
2025-10-26,238.23,237.7,239.94,233.2,4532646
2025-10-27,243.11,239.33,247.87,238.92,8444726
2025-10-28,242.83,245.74,248.45,241.56,6233785
2025-10-29,241.75,238.14,243.17,236.65,8067882
2025-10-30,242.14,237.59,242.29,235.4,4776254
2025-10-31,243.32,243.1,245.07,239.66,9346060
2025-11-01,251.07,247.92,253.47,243.65,2548543
2025-11-02,254.59,253.32,258.95,253.1,9480034
2025-11-03,249.85,249.66,252.21,246.1,7900724
2025-11-04,245.31,249.77,250.43,244.34,5160966
2025-11-05,247.65,246.07,251.2,244.97,1599451
2025-11-06,240.73,244.26,244.78,236.69,9861291
2025-11-07,244.15,244.23,244.47,242.15,6607760
2025-11-08,249.02,245.29,253.41,244.71,6775597
2025-11-09,247.64,245.79,249.18,242.56,2447204
2025-11-10,243.97,248.08,250.67,241.78,6159268
2025-11-11,243.95,239.93,246.86,237.93,1036933
2025-11-12,246.26,243.21,250.17,240.57,3936978
2025-11-13,246.01,247.57,252.34,245.52,9257174
2025-11-14,244.98,246.5,248.22,242.33,9145817
2025-11-15,244.69,245.62,247.65,241.15,6106283
2025-11-16,253.74,249.01,254.83,245.22,4105462
2025-11-17,255.74,257.12,261.91,250.67,6418886
2025-11-18,253.69,255.34,256.41,252.14,7102746
2025-11-19,254.36,250.8,255.06,249.83,8599677
