date,open,close,high,low,volume
2025-10-21,451.28,451.06,453.47,450.48,9062425
2025-10-22,438.8,444.18,448.07,437.98,8271262
2025-10-23,444.23,441.35,448.33,435.4,3979392
2025-10-24,445.04,446.23,453.51,438.1,4303014
2025-10-25,440.9,445.33,448.65,440.81,9060500
2025-10-26,457.53,449.45,464.42,446.84,4898992
2025-10-27,450.96,455.26,457.09,442.58,1580513
2025-10-28,453.76,457.32,458.24,446.49,4570710
2025-10-29,441.67,447.1,453.53,439.46,6682137
2025-10-30,444.04,446.9,451.1,440.29,1096104
2025-10-31,451.4,448.65,458.67,447.93,2037539
2025-11-01,443.88,447.99,455.6,443.45,6644789
2025-11-02,438.06,443.73,448.76,433.12,4496229
2025-11-03,441.28,437.81,445.14,437.5,5749114
2025-11-04,451.26,447.54,458.34,441.84,3660402
2025-11-05,455.57,458.76,465.89,449.53,8083164
2025-11-06,460.48,461.66,466.82,456.06,3544075
2025-11-07,469.54,460.45,473.19,460.27,8609939
2025-11-08,477.76,468.62,479.88,467.9,9116501
2025-11-09,471.66,469.43,478.26,461.85,3038832
2025-11-10,469.75,466.75,475.51,457.82,9327575
2025-11-11,475.7,467.27,478.04,467.21,2724012
2025-11-12,475.0,483.0,483.77,466.77,9034271
2025-11-13,468.61,470.03,475.2,465.41,7097370
2025-11-14,473.26,472.32,481.24,466.83,3952416
2025-11-15,458.14,464.79,470.12,451.02,2853981
2025-11-16,452.43,453.15,460.27,447.32,6349891
2025-11-17,444.38,443.89,453.01,435.67,4565804
2025-11-18,449.28,450.19,458.59,441.8,1781152
2025-11-19,454.52,451.4,460.82,445.86,8947131
