date,open,close,high,low,volume
2025-10-21,229.03,228.79,230.95,224.72,4246766
2025-10-22,228.26,231.14,235.73,224.52,9362219
2025-10-23,223.56,225.59,226.59,223.18,5058859
2025-10-24,222.52,226.39,227.41,218.88,9506675
2025-10-25,216.89,220.28,222.96,215.9,9694419
2025-10-26,223.38,218.94,225.72,216.75,3338186
2025-10-27,226.86,226.47,226.9,226.34,3389095
2025-10-28,222.69,224.24,225.98,221.26,7865972
2025-10-29,223.83,222.91,226.96,220.13,6049530
2025-10-30,226.69,226.46,229.52,224.48,2790342
2025-10-31,221.52,225.25,229.1,220.23,9246487
2025-11-01,223.23,225.11,227.87,218.81,3255645
2025-11-02,215.76,219.18,219.94,214.69,5707915
2025-11-03,218.85,216.77,220.58,216.23,9221526
2025-11-04,222.93,223.09,225.96,221.78,9927458
2025-11-05,227.05,227.07,230.76,225.3,3294544
2025-11-06,227.0,225.22,228.35,221.07,3120316
2025-11-07,230.04,230.43,234.65,227.72,2232729
2025-11-08,231.0,233.93,234.32,229.7,7856445
2025-11-09,228.0,227.99,230.54,226.99,5111553
2025-11-10,234.92,230.83,237.88,230.1,5588000
2025-11-11,236.64,232.99,239.09,228.55,7037578
2025-11-12,231.75,232.78,233.34,231.63,8337922
2025-11-13,230.43,228.33,233.61,224.07,9237226
2025-11-14,230.1,230.57,231.08,229.41,3555780
2025-11-15,233.0,234.48,236.53,231.2,2025486
2025-11-16,239.33,234.72,241.18,232.74,5033822
2025-11-17,242.87,242.97,246.34,241.68,5829646
2025-11-18,241.2,240.2,244.74,235.65,9694408
2025-11-19,245.11,242.04,249.17,237.31,5229007
