date,open,close,high,low,volume
2025-10-21,144.17,147.01,148.96,143.96,5877429
2025-10-22,144.54,141.66,144.96,138.98,8089925
2025-10-23,144.13,143.56,145.52,140.78,5156272
2025-10-24,138.83,141.47,142.79,138.62,4378192
2025-10-25,144.34,141.5,144.58,138.79,6630642
2025-10-26,142.41,143.07,144.53,140.45,9855066
2025-10-27,145.35,144.94,146.52,142.59,1320878
2025-10-28,142.69,143.25,144.15,141.98,2101515
2025-10-29,143.53,143.15,143.83,142.41,7234769
2025-10-30,145.61,143.56,145.72,143.13,8996235
2025-10-31,148.58,146.97,150.32,144.45,3150889
2025-11-01,147.47,149.95,151.32,144.61,9218326
2025-11-02,151.35,150.37,154.06,150.29,5457064
2025-11-03,155.97,152.96,157.07,152.22,7630260
2025-11-04,155.0,155.64,157.13,152.97,5883048
2025-11-05,153.45,152.66,155.38,151.33,3909847
2025-11-06,153.69,154.76,154.9,153.03,4108996
2025-11-07,150.61,152.63,153.69,147.95,8830177
2025-11-08,152.9,150.11,154.7,149.46,5483763
2025-11-09,153.5,151.39,155.15,148.57,3132421
2025-11-10,152.27,154.14,154.33,151.69,6856728
2025-11-11,151.15,150.88,152.47,148.68,5911898
2025-11-12,152.95,151.61,152.99,148.76,5493900
2025-11-13,155.5,152.92,158.11,151.25,2607925
2025-11-14,150.74,152.78,153.77,149.03,2170995
2025-11-15,149.97,148.28,152.72,147.56,1699385
2025-11-16,148.94,150.91,152.21,147.24,4860516
2025-11-17,145.22,147.76,150.21,143.68,1801791
2025-11-18,144.41,145.48,148.16,142.24,6874608
2025-11-19,144.13,142.5,145.32,141.27,3804900
