date,open,close,high,low,volume
2025-10-21,232.55,231.47,235.58,227.75,9523752
2025-10-22,234.42,236.43,237.94,232.62,1191303
2025-10-23,240.19,238.21,243.25,235.54,6983951
2025-10-24,249.22,244.42,249.68,244.04,6113335
2025-10-25,250.6,252.57,253.79,249.3,9192476
2025-10-26,248.18,251.37,251.85,245.77,4219375
2025-10-27,242.69,247.2,250.49,241.55,4698463
2025-10-28,238.62,240.34,241.75,236.21,6775629
2025-10-29,238.12,234.66,238.27,231.25,3093448
2025-10-30,237.75,234.12,241.89,230.36,5471761
2025-10-31,237.28,237.35,241.22,236.94,1812805
2025-11-01,234.51,234.71,238.74,234.16,9539042
2025-11-02,234.98,232.19,236.38,229.26,7808722
2025-11-03,230.6,234.35,236.58,229.52,5328158
2025-11-04,231.63,230.39,236.24,230.37,5275625
2025-11-05,229.06,228.85,229.59,226.71,1027054
2025-11-06,230.94,232.93,235.44,226.83,3548757
2025-11-07,224.89,227.92,231.62,223.48,8598505
2025-11-08,231.4,228.8,235.28,228.12,2189471
2025-11-09,236.0,234.01,238.19,233.32,2716787
2025-11-10,238.75,236.23,238.98,232.59,2598527
2025-11-11,240.83,239.12,243.01,235.71,9087291
2025-11-12,239.26,242.77,246.63,237.93,1032752
2025-11-13,232.23,234.7,234.88,232.17,4932969
2025-11-14,231.22,230.89,232.27,229.3,2557199
2025-11-15,229.92,234.34,234.97,227.19,9733356
2025-11-16,227.79,225.86,228.77,224.33,9325010
2025-11-17,231.32,230.62,231.5,228.19,6606909
2025-11-18,235.91,233.06,240.04,230.19,3805507
2025-11-19,240.76,236.87,240.86,235.36,3138003
