date,open,close,high,low,volume
2025-10-21,138.63,136.03,140.94,135.36,3609253
2025-10-22,139.49,140.94,141.17,138.85,2927061
2025-10-23,137.88,137.07,138.3,136.48,6014201
2025-10-24,137.13,136.28,137.18,135.47,8658110
2025-10-25,135.54,138.19,138.22,134.54,9489586
2025-10-26,136.75,136.55,137.33,135.69,2640311
2025-10-27,139.64,139.08,142.28,138.38,7835225
2025-10-28,142.77,140.09,145.29,139.06,3879795
2025-10-29,145.87,144.76,148.59,143.17,3141187
2025-10-30,146.24,145.57,147.9,144.04,1782531
2025-10-31,147.33,146.98,149.42,145.15,7121247
2025-11-01,145.03,145.81,146.01,143.19,1851158
2025-11-02,141.49,143.71,145.44,141.16,1039795
2025-11-03,141.85,140.79,142.3,139.52,1987274
2025-11-04,143.38,143.74,146.43,141.17,9745612
2025-11-05,144.44,144.92,147.33,142.37,1078460
2025-11-06,143.79,146.48,148.55,143.57,4869628
2025-11-07,143.2,141.62,145.64,139.19,2189465
2025-11-08,144.11,143.79,144.36,143.71,5170554
2025-11-09,139.21,141.63,142.78,138.6,3358867
2025-11-10,136.76,136.59,139.04,135.77,3382592
2025-11-11,134.08,135.71,136.78,133.89,1406648
2025-11-12,131.25,132.75,133.42,130.89,7806539
2025-11-13,131.38,131.78,133.86,131.08,2204787
2025-11-14,129.68,129.57,130.38,129.0,6886709
2025-11-15,133.25,131.3,133.92,129.72,7845218
2025-11-16,133.88,133.52,135.21,131.43,5820933
2025-11-17,133.43,133.35,135.59,131.47,8588162
2025-11-18,130.33,131.57,132.45,129.99,9186859
2025-11-19,132.07,129.82,133.67,129.42,2468789
