date,open,close,high,low,volume
2025-10-21,148.82,150.03,151.55,148.69,5598296
2025-10-22,148.37,147.71,151.06,146.31,3973622
2025-10-23,151.19,148.42,151.93,146.17,1295378
2025-10-24,149.38,149.5,151.82,149.04,9406824
2025-10-25,144.57,146.59,149.26,144.3,4659623
2025-10-26,145.24,143.18,147.41,142.25,4264733
2025-10-27,144.13,145.55,145.71,143.63,8516402
2025-10-28,146.16,146.99,147.16,145.84,8674711
2025-10-29,150.13,147.75,150.43,147.21,2338568
2025-10-30,151.81,152.32,153.86,150.91,2449119
2025-10-31,153.61,154.39,155.04,151.05,4987762
2025-11-01,156.95,155.65,159.81,153.29,6234765
2025-11-02,156.55,155.8,157.5,155.46,9148960
2025-11-03,156.14,154.44,157.53,153.95,2713521
2025-11-04,152.17,153.86,154.02,151.52,7585032
2025-11-05,148.02,150.15,151.74,145.41,7849369
2025-11-06,145.9,147.23,148.77,142.99,8262441
2025-11-07,142.73,144.0,144.27,141.54,6168907
2025-11-08,140.83,142.83,143.48,139.45,2086506
2025-11-09,143.53,141.23,145.81,140.95,5937293
2025-11-10,148.52,145.82,148.9,144.28,1167058
2025-11-11,149.96,150.31,151.62,148.29,2979817
2025-11-12,149.27,148.18,149.47,148.0,7613514
2025-11-13,153.56,151.84,156.49,151.06,1541745
2025-11-14,152.51,155.44,155.46,151.23,1257773
2025-11-15,153.55,150.68,155.07,149.13,7981387
2025-11-16,155.0,155.3,157.99,153.8,8878356
2025-11-17,154.35,154.13,154.42,153.05,5827612
2025-11-18,160.23,157.35,162.15,155.61,8904943
2025-11-19,155.44,158.33,159.67,154.61,2894824
