date,open,close,high,low,volume
2025-10-21,397.62,396.48,403.2,392.9,6487156
2025-10-22,386.68,390.45,395.09,386.02,3859309
2025-10-23,393.08,385.23,397.57,383.43,5610813
2025-10-24,385.86,390.56,396.07,381.48,1882582
2025-10-25,376.98,383.35,387.78,376.83,4726589
2025-10-26,388.35,382.44,395.57,376.58,3372066
2025-10-27,400.65,393.65,405.99,386.46,4127381
2025-10-28,407.61,404.89,408.01,400.42,1360800
2025-10-29,416.8,408.78,424.62,401.53,6955461
2025-10-30,431.49,425.26,432.33,425.23,8603569
2025-10-31,435.6,428.37,443.54,424.26,6791837
2025-11-01,433.3,435.48,441.34,425.1,6820152
2025-11-02,442.98,438.47,451.36,436.28,6893896
2025-11-03,438.8,443.52,450.42,436.47,5717585
2025-11-04,429.95,432.7,437.94,429.13,9307064
2025-11-05,427.53,421.66,432.33,416.81,8293860
2025-11-06,419.24,420.63,422.19,415.29,4594008
2025-11-07,428.54,423.05,436.06,416.65,9400622
2025-11-08,428.12,433.03,437.56,420.39,8122841
2025-11-09,442.6,434.07,445.79,433.22,5855110
2025-11-10,443.57,449.12,451.85,443.38,9437182
2025-11-11,443.6,436.44,450.91,435.58,7294497
2025-11-12,447.26,445.38,452.06,441.2,3611882
2025-11-13,442.71,447.19,452.85,440.95,4386428
2025-11-14,439.9,434.17,445.77,430.5,5065638
2025-11-15,452.4,448.45,458.04,443.48,9390875
2025-11-16,450.08,455.71,455.81,446.09,7812047
2025-11-17,455.08,448.11,456.44,445.01,9938934
2025-11-18,448.94,456.4,464.14,446.83,6961540
2025-11-19,458.43,452.23,463.12,450.26,6704272
