date,open,close,high,low,volume
2025-10-21,161.55,160.85,163.58,158.83,7724351
2025-10-22,161.36,161.23,161.41,158.65,8686693
2025-10-23,161.06,162.14,163.19,160.18,5339032
2025-10-24,159.15,160.92,161.58,156.46,3224027
2025-10-25,163.43,160.28,164.32,159.53,4598307
2025-10-26,163.15,160.84,165.83,158.19,9923332
2025-10-27,168.39,166.33,171.04,164.57,8233601
2025-10-28,169.94,167.05,170.24,164.24,6709841
2025-10-29,172.24,169.98,173.54,168.47,4576917
2025-10-30,167.29,169.73,170.15,165.86,5703758
2025-10-31,167.56,166.27,170.59,164.73,1106668
2025-11-01,167.59,167.66,169.85,164.42,9906086
2025-11-02,171.03,169.85,173.61,166.96,8383637
2025-11-03,171.28,168.37,172.74,165.88,9660521
2025-11-04,170.81,174.03,174.67,169.0,3800893
2025-11-05,171.73,169.45,172.36,168.36,7603511
2025-11-06,166.31,168.91,171.41,164.64,9839764
2025-11-07,165.18,167.01,168.41,163.91,8960878
2025-11-08,167.66,166.74,168.14,164.19,3427397
2025-11-09,169.82,167.08,169.87,165.98,8479759
2025-11-10,171.03,169.46,174.42,169.29,4610355
2025-11-11,166.26,168.72,170.42,164.19,1579082
2025-11-12,167.53,167.15,168.09,165.66,1209605
2025-11-13,171.03,168.56,174.28,167.14,3978662
2025-11-14,171.36,173.89,175.66,170.68,7516771
2025-11-15,166.91,170.09,171.0,164.89,5366963
2025-11-16,169.55,169.31,169.76,166.67,8132335
2025-11-17,168.74,168.87,169.64,166.97,5294581
2025-11-18,172.89,171.54,175.21,170.44,4441021
2025-11-19,172.53,174.89,175.38,171.3,1753659
